name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bristol,2021-01-01,3,-1.3,1.1,0,-3.2,-1.2,0.3,94.6,0.33,100,8.33,"rain,snow",0,0,,14.5,347.3,1012.7,74.5,10.2,14.6,1.3,1,,2021-01-01T08:15:50,2021-01-01T16:12:30,0.53,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-01-02,3,-1,1.1,1,-5.4,-1.9,-0.1,91.8,0.68,100,12.5,"rain,snow",0,0,,21.4,337.1,1017.2,64.2,11.2,20.5,1.7,2,,2021-01-02T08:15:41,2021-01-02T16:13:35,0.56,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-01-03,3.1,0,1.7,0,-4.5,-2.7,1.4,97.6,0.28,100,12.5,"rain,snow",0,0,,26.7,30.9,1018.5,95.8,8.2,12.9,1.2,1,,2021-01-03T08:15:30,2021-01-03T16:14:43,0.6,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-01-04,3.3,1,2.2,-1.9,-5,-3.2,0.7,90.5,0,0,0,,0,0,50,31.3,33.6,1020.7,88.2,12.4,15.5,1.5,1,,2021-01-04T08:15:15,2021-01-04T16:15:53,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-01-05,3.1,0.1,1.4,-2.6,-5.3,-3.9,-0.5,87.4,0,0,0,,0,0,,31.7,24.8,1021.6,80.5,14.2,32.4,2.8,2,,2021-01-05T08:14:56,2021-01-05T16:17:06,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-01-06,2.3,-1,1,-1,-5.8,-3.5,-0.1,92.3,0,0,0,,0,0,,25.9,28,1020.8,83.2,11.8,14,1.2,1,,2021-01-06T08:14:35,2021-01-06T16:18:22,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-01-07,1.4,-3,-0.9,0.4,-6.1,-2.6,-1.3,97.1,0,0,0,,0,0,,13.5,274.8,1019.4,38.1,6.2,19.8,1.8,1,,2021-01-07T08:14:10,2021-01-07T16:19:39,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-01-08,1.1,-0.3,0.8,0.8,-4.4,-2.1,0.3,97,0.25,100,8.33,"rain,snow",0,0,,17.6,34.9,1018.5,93.9,7.3,9,0.7,0,,2021-01-08T08:13:42,2021-01-08T16:20:59,0.87,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,EGGD"
bristol,2021-01-09,0.1,-1.8,-0.7,0.1,-6.6,-3.2,-0.8,99.1,0,0,0,,0,0,,16.6,48.5,1026.6,94.1,2.2,15.7,1.4,1,,2021-01-09T08:13:11,2021-01-09T16:22:21,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"03853099999,03743099999,03716099999,03644099999,03724399999,D9855,03740099999,EGGD"
bristol,2021-01-10,4.9,-1.1,1.7,2.2,-4,-0.8,1.3,96.7,0.03,100,4.17,rain,0,0,,14.1,258.8,1026.5,82.9,7.9,23.5,2.1,2,,2021-01-10T08:12:36,2021-01-10T16:23:45,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03853099999,03743099999,03716099999,03644099999,D9855,03740099999,C2888,EGGD"
